incident_type,location,date_occurred,description,status,severity,agent_name,victim_count
Vol à main armée,Sandaga,2024-09-15 14:30,Vol avec couteau,En cours,high,Commissaire Diop,1
Agression,UCAD,2024-09-16 09:15,Bagarre étudiants,Résolu,medium,Inspecteur Fall,2
Fraude,Plateau,2024-09-17 16:45,Arnaque téléphonique,Nouveau,low,Agent Ndiaye,1
Cambriolage,Pikine,2024-09-18 02:30,Cambriolage nuit,En cours,high,Commissaire Sow,1
Trafic de drogue,Guédiawaye,2024-09-19 11:20,Cannabis saisi,Classé,critical,Inspecteur Ba,0
Vol de véhicule,Rufisque,2024-09-20 18:00,Moto volée,En cours,high,Agent Sarr,1
Escroquerie,Thiès,2024-09-21 10:15,Faux terrain,Résolu,medium,Brigadier Ciss,3
Violence conjugale,Kaolack,2024-09-22 07:30,Violence domestique,En cours,high,Agent Mbaye,1
Vol simple,Kermel,2024-09-23 12:00,Pickpocket,Nouveau,low,Inspecteur Diallo,1
Cybercriminalité,Saint-Louis,2024-09-24 15:20,Piratage compte,En cours,critical,Commissaire Faye,1
Agression sexuelle,Ziguinchor,2024-09-25 20:45,Agression rue,Résolu,critical,Agent Sy,1
Vol,Touba,2024-09-26 14:20,Vol marché,En cours,medium,Inspecteur Wade,1
Vol avec violence,Mbour,2024-09-27 19:30,Vol bijoux,Nouveau,high,Agent Diouf,1
Corruption,Tambacounda,2024-09-28 11:00,Pot-de-vin,Classé,medium,Commissaire Kane,0
Trafic d'armes,Kolda,2024-09-29 03:15,Armes saisies,Résolu,critical,Inspecteur Camara,0
Vol de bétail,Louga,2024-09-30 06:00,Vol moutons,En cours,medium,Agent Gueye,1
Accident,Autoroute Dakar-Thiès,2024-10-01 22:15,Accident mortel,Résolu,critical,Commissaire Ndour,2
Manifestation,Place Indépendance,2024-10-02 16:00,Manif étudiants,Classé,low,Brigade Antiémeute,0
Vol organisé,Port Dakar,2024-10-03 04:30,Vol conteneurs,En cours,critical,Inspecteur Tall,0
Harcèlement,Transport Tata,2024-08-15 17:45,Harcèlement bus,Nouveau,medium,Agent Thiam,1
Incendie,Marché Tilène,2024-08-16 01:20,Incendie criminel,Résolu,high,Police Kebe,0
Braconnage,Bandia,2024-08-17 05:45,Chasse illégale,En cours,medium,Agent Dieng,0
Blanchiment,Banque Dakar,2024-08-18 10:30,Transactions suspectes,Nouveau,critical,Brigade Seck,0
Kidnapping,Saly,2024-08-19 14:00,Enlèvement enfant,Résolu,critical,Commissaire Dème,1
Viol,Rufisque,2024-08-20 23:30,Agression sexuelle,En cours,critical,Brigade Fall,1
Détournement,Mairie Dakar,2024-08-21 09:00,Fonds publics,Nouveau,high,Brigade Ly,0
Terrorisme,Casamance,2024-08-22 21:00,Alerte terroriste,Classé,critical,Forces Spéciales,0
Vandalisme,Monument Dakar,2024-08-23 16:30,Dégradation,Résolu,low,Police Municipale,0
Contrebande,Rosso,2024-08-24 12:00,Marchandises,En cours,medium,Douanes Sy,0
Chantage,Almadies,2024-08-25 18:20,Chantage photos,Nouveau,medium,Cybercrime Ndiaye,1
Vol,Sandaga,2024-07-15 11:30,Vol téléphone,En cours,medium,Agent Diop,1
Agression,UCAD,2024-07-16 08:45,Rixe campus,Résolu,low,Inspecteur Fall,2
Fraude,Plateau,2024-07-17 15:20,Escroquerie SMS,Nouveau,low,Agent Ndiaye,1
Cambriolage,Pikine,2024-07-18 03:15,Cambriolage villa,En cours,high,Commissaire Sow,1
Trafic,Guédiawaye,2024-07-19 10:45,Drogue saisie,Classé,high,Inspecteur Ba,0
Vol véhicule,Rufisque,2024-07-20 19:00,Voiture volée,En cours,high,Agent Sarr,1
Escroquerie,Thiès,2024-07-21 09:30,Faux notaire,Résolu,medium,Brigadier Ciss,2
Violence,Kaolack,2024-07-22 06:45,Violence familiale,En cours,high,Agent Mbaye,1
Vol,Kermel,2024-07-23 13:15,Vol sac,Nouveau,low,Inspecteur Diallo,1
Cybercrime,Saint-Louis,2024-07-24 16:40,Hacking,En cours,high,Commissaire Faye,1
Agression,Ziguinchor,2024-07-25 21:30,Agression nocturne,Résolu,high,Agent Sy,1
Vol,Touba,2024-07-26 12:50,Vol boutique,En cours,medium,Inspecteur Wade,1
